,,,,,,,_,,,_,,_,_,_,,,_,_,,,,,_,_,,,,_,_,,_,_,_,_,job_insertdate
5953090695,Chil Go Powder 3+ Madu 1000 gr,"[{'title': 'Official Store', 'imageUrl': 'https://images.tokopedia.net/img/official_store_badge.png', 'show': True, '__typename': 'AceSearchUnifyBadge'}]",4651,ibu-bayi/susu-bayi-anak/susu-anak,56,Ibu & Bayi,938,,7,/category/ibu-bayi/susu-bayi-anak/istanasusu/chil-go-powder-3-madu-1000-gr,https://images.tokopedia.net/img/cache/200-square/hDjmkQ/2022/10/12/838fdeb7-c256-40b9-96ef-2d408ecc8104.jpg,"[{'position': 'integrity', 'title': '2rb+ terjual', 'type': 'textDarkGrey', 'url': '', '__typename': 'AceSearchUnifyLabelGroup'}, {'position': 'campaign', 'title': 'Harga spesial', 'type': '', 'url': 'https://images.tokopedia.net/img/phOWBv/2023/11/28/a8778146-2c44-48e6-8b1f-b5bb222fb84e.png', '__typename': 'AceSearchUnifyLabelGroup'}]",Rp96.129,Rp89.206,,5,5.0,https://www.tokopedia.com/istanasusu/chil-go-powder-3-madu-1000-gr?extParam=cmp%3D1%26ivf%3Dfalse,False,0,4075308,AceSearchUnifyProduct,,,,,AceSearchUnifyAds,2124815,Istana Susu,https://www.tokopedia.com/istanasusu,Kab. Bekasi,True,True,AceSearchUnifyShop,2023-12-17 21:25:04
6985969431,Keju Belcube Cheese Spread 125 gr - Belcube Keju Bayi MPASI 24 kotak,"[{'title': 'Official Store', 'imageUrl': 'https://images.tokopedia.net/img/official_store_badge.png', 'show': True, '__typename': 'AceSearchUnifyBadge'}]",2011,ibu-bayi/susu-bayi-anak/biskuit-snack-bayi,56,Ibu & Bayi,3758,https://vod.tokopedia.com/view/adaptive.m3u8?id=d2c46cacd6484f72a73fe3b288e9369a,0,/category/ibu-bayi/susu-bayi-anak/aloraessential/keju-belcube-cheese-spread-125-gr-belcube-keju-bayi-mpasi-24-kotak-belcube-satuan,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/10/23/e0473d9e-b2f9-4444-ae0b-c5d8236e3f90.jpg,"[{'position': 'integrity', 'title': '10rb+ terjual', 'type': 'textDarkGrey', 'url': '', '__typename': 'AceSearchUnifyLabelGroup'}, {'position': 'campaign', 'title': 'Toserba', 'type': '', 'url': 'https://images.tokopedia.net/img/phOWBv/2023/11/28/a8778146-2c44-48e6-8b1f-b5bb222fb84e.png', '__typename': 'AceSearchUnifyLabelGroup'}]",,Rp44.999,,5,5.0,https://www.tokopedia.com/aloraessential/keju-belcube-cheese-spread-125-gr-belcube-keju-bayi-mpasi-24-kotak-belcube-satuan?extParam=ivf%3Dtrue,False,0,7803748,AceSearchUnifyProduct,,,,,AceSearchUnifyAds,7596230,Alora Essential,https://www.tokopedia.com/aloraessential,Jakarta Utara,True,True,AceSearchUnifyShop,2023-12-17 21:25:04
8538373041,Grouu - Abon Mpasi & Anak - BB Booster,"[{'title': 'Official Store', 'imageUrl': 'https://images.tokopedia.net/img/official_store_badge.png', 'show': True, '__typename': 'AceSearchUnifyBadge'}]",2011,ibu-bayi/susu-bayi-anak/biskuit-snack-bayi,56,Ibu & Bayi,86,https://vod.tokopedia.com/view/adaptive.m3u8?id=48f33da030f771eea40e86c6360c0102,30,/category/ibu-bayi/susu-bayi-anak/grouu/grouu-abon-mpasi-anak-bb-booster-abon-ayam,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/3/15/99981f41-6335-44c6-93b3-381062f4e2d2.jpg,"[{'position': 'price', 'title': 'Cashback 2,9rb', 'type': 'lightGreen', 'url': '', '__typename': 'AceSearchUnifyLabelGroup'}, {'position': 'integrity', 'title': '250+ terjual', 'type': 'textDarkGrey', 'url': '', '__typename': 'AceSearchUnifyLabelGroup'}, {'position': 'campaign', 'title': 'Beli Lokal', 'type': '', 'url': 'https://images.tokopedia.net/img/phOWBv/2023/12/8/1a976501-81ee-4705-bea8-28ca5c54e8d6.png', '__typename': 'AceSearchUnifyLabelGroup'}]",Rp71.000,Rp49.500,,5,4.9,https://www.tokopedia.com/grouu/grouu-abon-mpasi-anak-bb-booster-abon-ayam?extParam=ivf%3Dtrue,False,0,9762352,AceSearchUnifyProduct,,,,,AceSearchUnifyAds,9653641,Grouu,https://www.tokopedia.com/grouu,Jakarta Barat,True,True,AceSearchUnifyShop,2023-12-17 21:25:04
178206601,Enfagrow A+4 Vanila 800 gram,[],4651,ibu-bayi/susu-bayi-anak/susu-anak,56,Ibu & Bayi,428,,0,/category/ibu-bayi/susu-bayi-anak/kapalperang/enfagrow-a-4-vanila-800-gram,https://images.tokopedia.net/img/cache/200-square/hDjmkQ/2023/12/2/8da65d4e-08bf-43f1-8ef4-d666a1d78310.jpg,"[{'position': 'price', 'title': 'Cashback 12,6rb', 'type': 'lightGreen', 'url': '', '__typename': 'AceSearchUnifyLabelGroup'}, {'position': 'integrity', 'title': '1rb+ terjual', 'type': 'textDarkGrey', 'url': '', '__typename': 'AceSearchUnifyLabelGroup'}, {'position': 'fulfillment', 'title': 'Dilayani Tokopedia', 'type': 'textDarkGrey', 'url': 'https://images.tokopedia.net/img/restriction-engine/bebas-ongkir/DilayaniTokopedia_Icon.png', '__typename': 'AceSearchUnifyLabelGroup'}]",,Rp315.000,,5,5.0,https://www.tokopedia.com/kapalperang/enfagrow-a-4-vanila-800-gram?extParam=ivf%3Dfalse%26whid%3D14937698,False,0,14937698,AceSearchUnifyProduct,,,,,AceSearchUnifyAds,1475764,Kapal Perang,https://www.tokopedia.com/kapalperang,Medan,False,True,AceSearchUnifyShop,2023-12-17 21:25:04
326747062,SGM Eksplor 1+ dengan IronC Susu Pertumbuhan Rasa Vanilla 900GR,"[{'title': 'Official Store', 'imageUrl': 'https://images.tokopedia.net/img/official_store_badge.png', 'show': True, '__typename': 'AceSearchUnifyBadge'}]",4651,ibu-bayi/susu-bayi-anak/susu-anak,56,Ibu & Bayi,11224,,0,/category/ibu-bayi/susu-bayi-anak/sgmofficialstore/sgm-eksplor-1-dengan-ironc-susu-pertumbuhan-rasa-vanilla-900gr,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/2/4/d822d871-b60e-41de-a903-15613403e0b0.png,"[{'position': 'integrity', 'title': '10rb+ terjual', 'type': 'textDarkGrey', 'url': '', '__typename': 'AceSearchUnifyLabelGroup'}, {'position': 'campaign', 'title': 'Serbu OS', 'type': '', 'url': 'https://images.tokopedia.net/img/phOWBv/2022/12/1/4d3f8e43-a1f7-4b4c-94db-a7b8aa28178d.png', '__typename': 'AceSearchUnifyLabelGroup'}, {'position': 'category', 'title': 'Halal', 'type': 'textGreen', 'url': '', '__typename': 'AceSearchUnifyLabelGroup'}]",,Rp90.450,,5,5.0,https://www.tokopedia.com/sgmofficialstore/sgm-eksplor-1-dengan-ironc-susu-pertumbuhan-rasa-vanilla-900gr?extParam=ivf%3Dfalse,False,0,2901081,AceSearchUnifyProduct,,,,,AceSearchUnifyAds,3824444,SGM Official Store,https://www.tokopedia.com/sgmofficialstore,Jakarta Timur,True,True,AceSearchUnifyShop,2023-12-17 21:25:04
11629236238,Pureeland Bumbu Masak Pouch MPASI / Baby Meal Sauce / MPASI Bayi,"[{'title': 'Official Store', 'imageUrl': 'https://images.tokopedia.net/img/official_store_badge.png', 'show': True, '__typename': 'AceSearchUnifyBadge'}]",395,ibu-bayi/susu-bayi-anak/sereal-bubur-bayi,56,Ibu & Bayi,21,,0,/category/ibu-bayi/susu-bayi-anak/pureeland/pureeland-bumbu-masak-pouch-mpasi-baby-meal-sauce-mpasi-bayi-kuning-pouch-c33b9,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/10/20/a6626717-0a3d-4eb7-890e-9ac15b731d0d.jpg,"[{'position': 'integrity', 'title': '250+ terjual', 'type': 'textDarkGrey', 'url': '', '__typename': 'AceSearchUnifyLabelGroup'}]",,Rp27.000,,5,4.8,https://www.tokopedia.com/pureeland/pureeland-bumbu-masak-pouch-mpasi-baby-meal-sauce-mpasi-bayi-kuning-pouch-c33b9?extParam=ivf%3Dfalse,False,0,1527360,AceSearchUnifyProduct,,,,,AceSearchUnifyAds,1906751,Pureeland,https://www.tokopedia.com/pureeland,Jakarta Barat,True,True,AceSearchUnifyShop,2023-12-17 21:25:04
477765216,PediaSure Madu 850 g (1-10th) - Nutrisi Pertumbuhan,[],4651,ibu-bayi/susu-bayi-anak/susu-anak,56,Ibu & Bayi,1470,,7,/category/ibu-bayi/susu-bayi-anak/abbott/pediasure-madu-850-g-1-10th-nutrisi-pertumbuhan,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/4/11/734c512a-ae3d-4c54-877f-e3fd7148a28a.jpg,"[{'position': 'price', 'title': 'Cashback 22,9rb', 'type': 'lightGreen', 'url': '', '__typename': 'AceSearchUnifyLabelGroup'}, {'position': 'integrity', 'title': '3rb+ terjual', 'type': 'textDarkGrey', 'url': '', '__typename': 'AceSearchUnifyLabelGroup'}, {'position': 'fulfillment', 'title': 'Dilayani Tokopedia', 'type': 'textDarkGrey', 'url': 'https://images.tokopedia.net/img/restriction-engine/bebas-ongkir/DilayaniTokopedia_Icon.png', '__typename': 'AceSearchUnifyLabelGroup'}, {'position': 'campaign', 'title': 'Inspirasi Belanja', 'type': '', 'url': 'https://images.tokopedia.net/img/phOWBv/2023/10/24/226dc83d-448e-46a8-8c89-25056b6c30ca.png', '__typename': 'AceSearchUnifyLabelGroup'}, {'position': 'category', 'title': 'Halal', 'type': 'textGreen', 'url': '', '__typename': 'AceSearchUnifyLabelGroup'}]",Rp350.900,Rp328.000,,5,5.0,https://www.tokopedia.com/abbott/pediasure-madu-850-g-1-10th-nutrisi-pertumbuhan?extParam=ivf%3Dfalse%26whid%3D13056835,False,0,13056835,AceSearchUnifyProduct,,,,,AceSearchUnifyAds,763506,Abbott Official Store,https://www.tokopedia.com/abbott,Bekasi,True,True,AceSearchUnifyShop,2023-12-17 21:25:04
789310132,Yummy Bites Rice Crackers Original 25gr,"[{'title': 'Official Store', 'imageUrl': 'https://images.tokopedia.net/img/official_store_badge.png', 'show': True, '__typename': 'AceSearchUnifyBadge'}]",2011,ibu-bayi/susu-bayi-anak/biskuit-snack-bayi,56,Ibu & Bayi,539,,25,/category/ibu-bayi/susu-bayi-anak/yummybites/yummy-bites-rice-crackers-original-25gr,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/8/4/42a39521-ef40-4df5-b93f-510e58c8c6b7.png,"[{'position': 'best_seller', 'title': 'Terlaris', 'type': '#e1aa1d', 'url': '', '__typename': 'AceSearchUnifyLabelGroup'}, {'position': 'integrity', 'title': '2rb+ terjual', 'type': 'textDarkGrey', 'url': '', '__typename': 'AceSearchUnifyLabelGroup'}, {'position': 'costperunit', 'title': 'Rp66.000/100 g', 'type': 'textDarkGrey', 'url': '', '__typename': 'AceSearchUnifyLabelGroup'}]",Rp22.000,Rp16.500,,5,4.9,https://www.tokopedia.com/yummybites/yummy-bites-rice-crackers-original-25gr?extParam=ivf%3Dfalse%26whid%3D6890924,False,0,6890924,AceSearchUnifyProduct,,,,,AceSearchUnifyAds,6682168,Yummy Bites Official,https://www.tokopedia.com/yummybites,Kab. Tangerang,True,True,AceSearchUnifyShop,2023-12-17 21:25:04
8872150309,BEBELOVE 2 BOX 400 GR,"[{'title': 'Official Store', 'imageUrl': 'https://images.tokopedia.net/img/official_store_badge.png', 'show': True, '__typename': 'AceSearchUnifyBadge'}]",4650,ibu-bayi/susu-bayi-anak/susu-bayi-di-bawah-1-tahun,56,Ibu & Bayi,11,,0,/category/ibu-bayi/susu-bayi-anak/lottemartbintaro/bebelove-2-box-400-gr,https://images.tokopedia.net/img/cache/200-square/hDjmkQ/2023/3/30/dcad27ea-dd52-4a3e-b666-6334b17b0691.jpg,"[{'position': 'price', 'title': 'Cashback 5,2rb', 'type': 'lightGreen', 'url': '', '__typename': 'AceSearchUnifyLabelGroup'}, {'position': 'integrity', 'title': '80+ terjual', 'type': 'textDarkGrey', 'url': '', '__typename': 'AceSearchUnifyLabelGroup'}]",,Rp75.000,,5,5.0,https://www.tokopedia.com/lottemartbintaro/bebelove-2-box-400-gr?extParam=ivf%3Dfalse,False,0,14983862,AceSearchUnifyProduct,,,,,AceSearchUnifyAds,15128547,LOTTE Mart Bintaro,https://www.tokopedia.com/lottemartbintaro,Tangerang Selatan,True,True,AceSearchUnifyShop,2023-12-17 21:25:04
11653368270,YUMMY BITES ORGANIC NOODLE / MIE BAYI ORGANIK / MPASI / MIE BAYI MPASI,"[{'title': 'Power Merchant Pro Badge', 'imageUrl': 'https://images.tokopedia.net/img/goldmerchant/pm_activation/badge/PM%20Pro%20Small.png', 'show': True, '__typename': 'AceSearchUnifyBadge'}]",395,ibu-bayi/susu-bayi-anak/sereal-bubur-bayi,56,Ibu & Bayi,549,,32,/category/ibu-bayi/susu-bayi-anak/mybaby-tools/yummy-bites-organic-noodle-mie-bayi-organik-mpasi-mie-bayi-mpasi-kale-beet-80gr-61080,https://images.tokopedia.net/img/cache/200-square/product-1/2020/9/7/69099466/69099466_dbe34832-20ec-4d1d-8950-ab852ea13ede_1919_1919,"[{'position': 'integrity', 'title': '2rb+ terjual', 'type': 'textDarkGrey', 'url': '', '__typename': 'AceSearchUnifyLabelGroup'}, {'position': 'category', 'title': 'Halal', 'type': 'textGreen', 'url': '', '__typename': 'AceSearchUnifyLabelGroup'}]",Rp25.000,Rp17.000,,5,5.0,https://www.tokopedia.com/mybaby-tools/yummy-bites-organic-noodle-mie-bayi-organik-mpasi-mie-bayi-mpasi-kale-beet-80gr-61080?extParam=ivf%3Dfalse,False,0,6511561,AceSearchUnifyProduct,,,,,AceSearchUnifyAds,6253929,MyBabyTools,https://www.tokopedia.com/mybaby-tools,Jakarta Selatan,False,True,AceSearchUnifyShop,2023-12-17 21:25:04
